	Unnamed: 0	sentences	label
0	0	Ik ben makelaar in koffi, en woon op de Lauriergracht, N° 37.Het is myn gewoonte niet, romans te schryven, of zulke dingen, en het heeft dan ook lang geduurd, voor ik er toe overging een paar riem papier extra te bestellen, en het werk aantevangen, dat gy, lieve lezer, zoo-even in de hand hebt genomen, en dat ge lezen moet als ge makelaar in koffi zyt, of als ge wat anders zyt.Niet alleen dat ik nooit iets schreef wat naar een roman geleek, maar ik houd er zelfs niet van, iets dergelyks te lezen, omdat ik een man van zaken ben.Sedert jaren vraag ik my af, waartoe zulke dingen dienen, en ik sta verbaasd over de onbeschaamdheid, waarmede een dichter of romanverteller u iets op de mouw durft spelden, dat nooit gebeurd is, en meestal niet gebeuren kan.Als ik in _myn_ vak--ik ben makelaar in koffi, en woon op de Lauriergracht N°37--aan een principaal --een principaal is iemand die koffi verkoopt--een opgave deed, waarin maar een klein gedeelte der onwaarheden voorkwam, die in gedichten en romans de hoofdzaak uitmaken, zou hy terstondBusselinck & Waterman nemen.Dat zyn ook makelaars in koffi, doch hun adres behoeft ge niet te weten.Ik pas er dus wel op, dat ik geen romans schryf, of andere valsche opgaven doe.Ik heb dan ook altyd opgemerkt dat menschen die zich met zoo-iets inlaten, gewoonlyk slecht wegkomen.	droogstoppel
1	1	"Ik ben drie en veertig jaren oud, bezoek sedert twintig jaren de beurs, en kan dus voor den dag treden, als men iemand roept die ondervinding heeft.Ik heb al wat huizen zien vallen!En gewoonlyk, wanneer ik de oorzaken naging, kwam het me voor, dat die moesten gezocht worden in de verkeerde richting die aan de meesten gegeven was in hun jeugd._waarheid en gezond verstand_, en hier blyf ik by.Voor de _Schrift_ maak ik natuurlyk een uitzondering.De fout begint al van Van Alphen af, en wel terstond by den eersten regel over die ""_lieve wichtjes_."" Wat drommel kon dien ouden heer bewegen, zich uittegeven voor een aanbidder van myn zusje Truitje die zeere oogen had, of van myn broêr Gerrit die altyd met zyn neus speelde?En toch, hy zegt:""dat hy die versjes zong, door _liefde_"" Ik dacht dikwyls als kind:"	droogstoppel
2	2	"""man, ik wilde u graag eens ontmoeten, en als ge my de marmerknikkers weigerde, die ik u vragen zou, of myn naam voluit in banket--ik heet_Batavus_--dan houd ik u voor een leugenaar.Maar ik heb Van Alphen nooit gezien.Hy was al dood, geloof ik, toen hy ons vertelde dat myn vader myn beste vrind was--ik hield meer van Pauweltje Winser, die naast ons woonde in de Batavierstraat--en dat myn kleine hond zoo dankbaar was.We hielden geen honden, omdat ze zoo onzindelyk zyn. Alles leugens!Zoo gaat dan de opvoeding voort.Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool.Alle Hollanders zyn dapper en edelmoedig."	droogstoppel
3	3	De Romeinen waren bly dat de Batavieren hen lieten leven.De Bey van Tunis kreeg een kolyk als hy het wapperen hoorde van de nederlandsche vlag.De hertog van Alva was een ondier.De eb, in 1672 geloof ik, duurde wat langer dan gewoonlyk, expres om Nederland te beschermen.Nederland is _Nederland_ gebleven, omdat onze oude luî goed op hun zaken pasten, en omdat ze het ware geloof hadden.Dàt is de zaak!En dan komen later weer andere leugens.Een meisjen is een engel.Wie dit het eerst ontdekte, heeft nooit zusters gehad.Liefde is een zaligheid.	droogstoppel
4	4	Men vlucht met het een of ander voorwerp naar het einde der aarde.De aarde heeft geen einden, en die liefde is ook gekheid.Niemand kan zeggen dat ik niet goed leef met myn vrouw--zy is een dochter van Last & Co, makelaars in koffi--niemand kan iets op ons huwelyk aanmerken.Ik ben lid van _Artis_, zy heeft een sjaallong van twee-en-negentig gulden, en van zulk een malle liefde die volstrekt aan het einde der aarde wil wonen, is toch tusschen ons nooit spraak geweest.Toen we getrouwd zyn, hebben wy een toertje naar den Haag gemaakt--ze heeft daar flanel gekocht, waarvan ik nog borstrokken draag--en verder heeft ons de liefde nooit de wereld ingejaagd.Dus: alles gekheid en leugens!En zou _myn_ huwelyk nu minder gelukkig wezen, dan van de menschen die zich uit liefde de tering op den hals haalden, of de haren uit het hoofd?Of denkt ge dat myn huishouden iets minder wel geregeld is, dan het wezen zou als ik voor zeventien jaar myn meisjen in _verzen_ gezegd had dat ik haar trouwen wilde?Ik had dit toch even goed kunnen doen als ieder ander, want verzenmaken is een ambacht, zeker minder moeielyk dan ivoordraaien.	droogstoppel
5	5	"Hoe zouden anders de ulevellen met deviezen zoo goedkoop wezen?--Frits zegt:""_Uhlefeldjes_"" ik weet niet, waarom?--En vraag eens naar den prys van een stel billardballen!Ik heb niets tegen verzen op-zichzelf.Wil men de woorden in gelid 't zetten, goed!Maar zeg niets wat niet waar is.""_De lucht is guur, en 't is vier uurDit laat ik gelden, als het werkelijk _guur_ en _vier uur"	droogstoppel
6	6	"Maar als 't kwartier voor drieën is, kan ik, die myn woorden niet in 't gelid zet, zeggen:""_de lucht is guur, en 't is kwartier voor drieën_.""De verzenmaker is door de _guurheid_ van den eersten regel aan een vol uur gebonden.Het moet voor hem juist _een, twee_ uur, enz. wezen, of de lucht mag niet guur zyn._Zeven_ en _negen_ is verboden door de maat.Daar gaat hy dan aan 't knoeien!Of het weêr moet veranderd, òf de tyd.Eén van beiden is dan gelogen."	droogstoppel
7	7	 En niet alleen die verzen lokken de jeugd tot onwaarheid.Ga eens in den schouwburg, en luister dáár wat er voor leugens aan den man worden gebracht.De held van 't stuk wordt uit het water gehaald door iemand die op 't punt staat bankroet te maken.Dan geeft hy hem zyn halve vermogen.Dat kan niet waar zyn.Toen onlangs op de Prinsengracht myn hoed te-water woei--Frits zegt:_waaide_--heb ik den man die hem my terugbracht, een dubbeltje gegeven; en hy was tevreden.Ik weet wel dat ik iets meer had moeten geven als hy myzelf er uit gehaald had, maar zeker myn halve vermogen niet.'t Is immers duidelyk dat men op die wys maar tweemaal in 't water hoeft te vallen om doodarm te wezen.Wat het ergste is by zulke vertooningen op het tooneel, het publiek gewent zich zóó aan al die onwaarheden, dat het ze mooi vindt en toejuicht.	droogstoppel
8	8	Ik had weleens lust zoo'n heel parterre in 't water te gooien, om te zien wie dat toe juichen gemeend had.Ik, die van waarheid houd, waarschuw ieder dat ik voor 't opvisschen van myn persoon geen zoo hoog bergloon betalen wil.Wie met minder niet tevreden is, mag me laten liggen.Alleen Zondags zou ik iets meer geven, omdat ik dan myn kantilje ketting draag, en een anderen rok.Ja, dat tooneel bederft velen, meer nog dan de romans.Het is zoo aanschouwelyk!Met wat klatergoud en wat kant van uitgeslagen papier, ziet er dat alles zoo aanlokkelyk uit.Voor kinderen, meen ik, en voor menschen die niet in zaken zyn.Zelfs als die tooneelmenschen armoede willen voorstellen, is hun voorstelling altyd leugenachtig.Een meisje wier vader bankroet maakte, werkt om de familie te onderhouden.	droogstoppel
9	9	"Daar zit ze dan te naaien, te breien of te borduren.Maar tel nu eens de steken die ze doet gedurende het heele bedryf.Ze praat, ze zucht, ze loopt naar 't venster, maar werken doet ze niet.De familie die van dezen arbeid leven kan, heeft weinig noodig.Zoo'n meisjen is natuurlyk de heldin.Ze heeft eenige verleiders de trappen afgeworpen, ze roept gedurig:""o myne moeder, o, myne moeder!"" en stelt dus de deugd voor.Wat is dat voor een deugd, die een vol jaar noodig heeft voor een paar wollen kousen?Geeft dit alles niet valsche denkbeelden van deugd, en ""_werken voor den kost?_"" Alles gekheid en leugens!"	droogstoppel
