	sentences	label
0	I am not accustomed to write novels or works of that kind ; therefore it took me a long time be fore	droogstoppel
1	I could resolve to order a few extra quires of paper and begin this book, which you, dear reader, have just taken in hand, and which you must finish, whether you are a coffee-broker or anything else.	droogstoppel
2	Not only that I never wrote anything that resembled a novel, but I even do not like to read such things, because I am a man of business.	droogstoppel
3	For many years I have asked myself what is the use of such works, and I am astonished at the impudence with which many a poet or novelist dares to tell you stories which never happened, and often never could have happened at all.	droogstoppel
4	If I in my position, — I am a coffee-broker, and live at No. 37 Laurier Canal,— made a statement to a Principal, that is, a person who sells coffee, in which I related only a small part of the lies which form the greater part of poems and novels, he would immediately cease to employ me, and go over to Busselinck and Waterman, who are likewise coffee-brokers, — but you need not know their address.	droogstoppel
5	Therefore I take good care not to write any novels, nor to advance any false statements.	droogstoppel
6	I have always remarked that persons who do so are often badly off.	droogstoppel
7	I am forty-three years of age, I have visited the Exchange for the last twenty years, and, therefore, I can come forward whenever you are in want of a person of experience.	droogstoppel
8	How many firms do I know which have been utterly ruined !	droogstoppel
9	And gene rally, when looking for the causes of their failure, it ap peared to me that they must be attributed to the wrong direction which most of them followed in the beginning.	droogstoppel
10	My maxims are, and will always be, Truth and Com mon-sense ; making, of course, an exception with regard to the Holy Scriptures.	droogstoppel
11	"The origin of this fault may be traced to our children's poet, Van Alphen,1 in his very first line, about "" dear little babies."	droogstoppel
12	""" What the deuce could make that old gentleman declare himself to be an adorer of my little sister Gertrude, who had weak eyes, or of my brother Gerard, who always played with his nose ?"	droogstoppel
13	"and yet, he says, "" that he sang those poems in spired by love."	droogstoppel
14	""" I often thought when a child, "" My dear fellow, I should like to meet you once, and if you refused me the marbles which I should ask you for, or the initials of my name in chocolate-"	droogstoppel
15	my name is Batavus —then I should believe you to be a liar.	droogstoppel
16	But I never saw Van Alphen; he was dead, I think, when he told us that my father was my best friend, and that my little dog was so grateful (we never kept any dogs, they are so very dirty) ; although I was much fonder of little Paul Winser, who lived near us in Batavier Street.	droogstoppel
17	"And yet in this manner education goes on : —"" The new little sister came from the vegetable-woman in a big cabbage."""	droogstoppel
18	""" All Dutchmen are brave and gener ous."""	droogstoppel
19	""" The Romans were glad that the Batavians allowed them to live."""	droogstoppel
20	""" The Bey of Tunis got a colic when he heard the Dutch colours flapping."""	droogstoppel
21	""" The Duke of Alva was a monster."""	droogstoppel
22	"* "" The ebb-tide (in 1672, I believe) lasted a little longer than usual, only to protect the Netherlands."	droogstoppel
23	Holland has remained Holland because our forefathers knew how to manage their affairs, and because they had the true religion—that is the reason.	droogstoppel
24	And then came other lies.	droogstoppel
25	"""A girl is an angel."	droogstoppel
26	""" Whoever first discovered that never had any sisters."	droogstoppel
27	Love is a bliss ; you fly with some dear object or other to the end of the earth.	droogstoppel
28	The earth has no end, and such love is all nonsense.	droogstoppel
29	Nobody can say that I do not live on good terms with my wife,—she is a daughter of Last and Co., coffee-brokers,—nobody can find fault with our marriage.	droogstoppel
30	"I am a member of the fashionable "" Artis "" club,1 and she has an Indian shawl which cost £7, 13s."	droogstoppel
31	but yet we never in dulged in such a foolish love as would have urged us to fly to the extremities of the earth.	droogstoppel
32	When we married, we made an excursion to the Hague.	droogstoppel
33	She there bought some flannel, of which I still wear shirts ; and further our love has never driven us.	droogstoppel
34	So, I say, it is all nonsense and lies !	droogstoppel
35	And should my marriage now be less happy than that of those persons who out of pure love become consumptive, or tear the hair out of their heads ?	droogstoppel
36	Or do you think that my household is less orderly than it would be, if seventeen years ago I had promised my bride in verse that I should marry her ?	droogstoppel
37	Stuff and nonsense !	droogstoppel
38	yet I could have done such a thing as well as any one else ; for the making of verses is a profession certainly less difficult than ivory-turning, other wise how could bon-bons •with mottoes be so cheap?	droogstoppel
39	Only compare their price with that of two billiard-balls.	droogstoppel
40	I have no objection to verses.	droogstoppel
41	"If you like to put the words into a line, very well; but do not say anything beyond the truth ; thus,— "" The clock strikes four"	droogstoppel
42	And it rains no more.	droogstoppel
43	""" I will not say anything against that, if it is indeed four o'clock, and it has really stopped raining."	droogstoppel
44	"But if it is a quarter to three, then I, who do not put my words in verse, can say, "" It is a quarter to three, and it has stopped raining."""	droogstoppel
45	"But the rhymer, because it rains "" no more,"" is bound to say "" four."""	droogstoppel
46	Either the time or the weather must be changed, and a lie is the result.	droogstoppel
47	And it is not rhyming alone that allures young people to untruth.	droogstoppel
48	Go to the theatre, and listen to all the lies they tell you.	droogstoppel
49	The hero of the piece is saved from being drowned by a person who is on the point of becoming a bankrupt.	droogstoppel
50	Then, as we are told, he gives his preserver half his fortune,—a statement that cannot be true, as I proceed to show.	droogstoppel
51	When lately my hat was blown by the wind into the Prinsen Canal, I gave the man twopence who brought it back to me, and he was satisfied.	droogstoppel
52	I know very well that I ought to have given a little more if he had saved my own self from drowning, but certainly not half my fortune ; for it is evident that in such a case, falling twice into the water would quite ruin me.	droogstoppel
53	The worst of these scenes on the stage is, that people become so much accustomed to untruths, that they get into the habit of admiring and applauding them.	droogstoppel
54	I should like to throw all such applauders into the water, to see how many of them really meant that applause.	droogstoppel
55	I, who love truth, hereby give notice, that / won't pay half my fortune for being fished up.	droogstoppel
56	He who is not satisfied with less, need not touch me.	droogstoppel
57	On Sundays only I should give a little more, on account of my gold chain and best coat.	droogstoppel
58	many persons become corrupted by the stage, much more than by novels, for seeing is believing.	droogstoppel
59	With tinsel and lace cut out in paper, all looks so very attractive, that is to say, for children and men who are not accustomed to busi ness.	droogstoppel
60	And even when they want to represent poverty, their representation is generally a lie.	droogstoppel
61	A girl whose father has become a bankrupt, works to support her family.	droogstoppel
62	Very well; you see her on the stage, sewing, knitting, or embroidering.	droogstoppel
63	Now, do count the stitches which she makes during a whole act.	droogstoppel
64	She talks, she sighs, she runs to the window, she does everything except work.	droogstoppel
65	Surely the family that can live by such work needs very little.	droogstoppel
66	This girl is, of course, the heroine.	droogstoppel
67	"She has pushed some seducers down-stairs, and cries continually, "" Oh, mother, mother !"" and thus she represents Virtue."	droogstoppel
68	A nice virtue indeed, which takes a year in making a pair of stockings !	droogstoppel
69	"Does not all this serve to give you false ideas of virtue, and of "" labour for daily bread?"""	droogstoppel
70	All folly and lies!	droogstoppel
