	sentences	label	length	n_words	pos_tag	dependency	trigrams
0	I am not accustomed to write novels or works of that kind ; therefore it took me a long time be fore	droogstoppel	100	22	['PROPN', 'X', 'X', 'X', 'X', 'NOUN', 'ADJ', 'X', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'DET', 'NOUN', 'PRON', 'CCONJ', 'VERB', 'X', 'X', 'X']	['ROOT', 'flat', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'cc', 'conj', 'appos', 'punct', 'nsubj', 'det', 'parataxis', 'appos', 'cc', 'ROOT', 'obl', 'fixed', 'fixed']	[['I', 'am', 'not'], ['am', 'not', 'accustomed'], ['not', 'accustomed', 'to'], ['accustomed', 'to', 'write'], ['to', 'write', 'novels'], ['write', 'novels', 'or'], ['novels', 'or', 'works'], ['or', 'works', 'of'], ['works', 'of', 'that'], ['of', 'that', 'kind'], ['that', 'kind', ';'], ['kind', ';', 'therefore'], [';', 'therefore', 'it'], ['therefore', 'it', 'took'], ['it', 'took', 'me'], ['took', 'me', 'a'], ['me', 'a', 'long'], ['a', 'long', 'time'], ['long', 'time', 'be'], ['time', 'be', 'fore']]
1	I could resolve to order a few extra quires of paper and begin this book, which you, dear reader, have just taken in hand, and which you must finish, whether you are a coffee-broker or anything else.	droogstoppel	199	37	['SYM', 'NOUN', 'ADV', 'X', 'NOUN', 'X', 'X', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'X', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'X', 'X', 'X', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'X', 'X', 'X', 'NOUN', 'X', 'NOUN', 'ADJ', 'PUNCT']	['nsubj', 'advcl', 'amod', 'case', 'fixed', 'fixed', 'fixed', 'amod', 'obj', 'cc', 'conj', 'appos', 'nmod', 'amod', 'conj', 'punct', 'conj', 'obl', 'punct', 'ROOT', 'nsubj', 'punct', 'appos', 'advmod', 'obj', 'case', 'obl', 'punct', 'obj', 'fixed', 'fixed', 'fixed', 'obl', 'punct', 'advmod', 'obj', 'fixed', 'fixed', 'fixed', 'nmod', 'fixed', 'obj', 'punct']	[['I', 'could', 'resolve'], ['could', 'resolve', 'to'], ['resolve', 'to', 'order'], ['to', 'order', 'a'], ['order', 'a', 'few'], ['a', 'few', 'extra'], ['few', 'extra', 'quires'], ['extra', 'quires', 'of'], ['quires', 'of', 'paper'], ['of', 'paper', 'and'], ['paper', 'and', 'begin'], ['and', 'begin', 'this'], ['begin', 'this', 'book,'], ['this', 'book,', 'which'], ['book,', 'which', 'you,'], ['which', 'you,', 'dear'], ['you,', 'dear', 'reader,'], ['dear', 'reader,', 'have'], ['reader,', 'have', 'just'], ['have', 'just', 'taken'], ['just', 'taken', 'in'], ['taken', 'in', 'hand,'], ['in', 'hand,', 'and'], ['hand,', 'and', 'which'], ['and', 'which', 'you'], ['which', 'you', 'must'], ['you', 'must', 'finish,'], ['must', 'finish,', 'whether'], ['finish,', 'whether', 'you'], ['whether', 'you', 'are'], ['you', 'are', 'a'], ['are', 'a', 'coffee-broker'], ['a', 'coffee-broker', 'or'], ['coffee-broker', 'or', 'anything'], ['or', 'anything', 'else.']]
2	Not only that I never wrote anything that resembled a novel, but I even do not like to read such things, because I am a man of business.	droogstoppel	136	28	['ADJ', 'PROPN', 'X', 'SYM', 'X', 'NOUN', 'NOUN', 'X', 'X', 'X', 'NOUN', 'PUNCT', 'VERB', 'SYM', 'ADV', 'X', 'X', 'X', 'X', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'PROPN', 'X', 'X', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']	['nmod', 'fixed', 'ROOT', 'appos', 'fixed', 'amod', 'nmod', 'appos', 'fixed', 'cc', 'conj', 'punct', 'amod', 'nsubj', 'advmod', 'fixed', 'fixed', 'fixed', 'case', 'fixed', 'appos', 'appos', 'punct', 'parataxis', 'nsubj', 'flat', 'conj', 'fixed', 'cc', 'conj', 'punct']	[['Not', 'only', 'that'], ['only', 'that', 'I'], ['that', 'I', 'never'], ['I', 'never', 'wrote'], ['never', 'wrote', 'anything'], ['wrote', 'anything', 'that'], ['anything', 'that', 'resembled'], ['that', 'resembled', 'a'], ['resembled', 'a', 'novel,'], ['a', 'novel,', 'but'], ['novel,', 'but', 'I'], ['but', 'I', 'even'], ['I', 'even', 'do'], ['even', 'do', 'not'], ['do', 'not', 'like'], ['not', 'like', 'to'], ['like', 'to', 'read'], ['to', 'read', 'such'], ['read', 'such', 'things,'], ['such', 'things,', 'because'], ['things,', 'because', 'I'], ['because', 'I', 'am'], ['I', 'am', 'a'], ['am', 'a', 'man'], ['a', 'man', 'of'], ['man', 'of', 'business.']]
3	For many years I have asked myself what is the use of such works, and I am astonished at the impudence with which many a poet or novelist dares to tell you stories which never happened, and often never could have happened at all.	droogstoppel	229	44	['PROPN', 'NOUN', 'NOUN', 'SYM', 'NOUN', 'NOUN', 'ADV', 'X', 'AUX', 'X', 'X', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'X', 'PROPN', 'X', 'NOUN', 'X', 'X', 'X', 'X', 'PRON', 'NOUN', 'CCONJ', 'X', 'X', 'VERB', 'VERB', 'X', 'X', 'X', 'NOUN', 'ADJ', 'X', 'NOUN', 'PUNCT', 'X', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'AUX', 'NOUN', 'PUNCT']	['mark', 'flat', 'nsubj', 'appos', 'fixed', 'nsubj', 'advmod', 'ROOT', 'cop', 'nmod', 'fixed', 'cc', 'conj', 'nsubj', 'punct', 'conj', 'flat', 'nmod', 'fixed', 'appos', 'fixed', 'fixed', 'obl', 'dep', 'nsubj', 'cc', 'nmod', 'nsubj', 'nsubj', 'ccomp', 'det', 'fixed', 'fixed', 'fixed', 'fixed', 'advmod', 'amod', 'punct', 'dep', 'conj', 'fixed', 'amod', 'obj', 'parataxis', 'cop', 'ROOT', 'punct']	[['For', 'many', 'years'], ['many', 'years', 'I'], ['years', 'I', 'have'], ['I', 'have', 'asked'], ['have', 'asked', 'myself'], ['asked', 'myself', 'what'], ['myself', 'what', 'is'], ['what', 'is', 'the'], ['is', 'the', 'use'], ['the', 'use', 'of'], ['use', 'of', 'such'], ['of', 'such', 'works,'], ['such', 'works,', 'and'], ['works,', 'and', 'I'], ['and', 'I', 'am'], ['I', 'am', 'astonished'], ['am', 'astonished', 'at'], ['astonished', 'at', 'the'], ['at', 'the', 'impudence'], ['the', 'impudence', 'with'], ['impudence', 'with', 'which'], ['with', 'which', 'many'], ['which', 'many', 'a'], ['many', 'a', 'poet'], ['a', 'poet', 'or'], ['poet', 'or', 'novelist'], ['or', 'novelist', 'dares'], ['novelist', 'dares', 'to'], ['dares', 'to', 'tell'], ['to', 'tell', 'you'], ['tell', 'you', 'stories'], ['you', 'stories', 'which'], ['stories', 'which', 'never'], ['which', 'never', 'happened,'], ['never', 'happened,', 'and'], ['happened,', 'and', 'often'], ['and', 'often', 'never'], ['often', 'never', 'could'], ['never', 'could', 'have'], ['could', 'have', 'happened'], ['have', 'happened', 'at'], ['happened', 'at', 'all.']]
4	If I in my position, — I am a coffee-broker, and live at No. 37 Laurier Canal,— made a statement to a Principal, that is, a person who sells coffee, in which I related only a small part of the lies which form the greater part of poems and novels, he would immediately cease to employ me, and go over to Busselinck and Waterman, who are likewise coffee-brokers, — but you need not know their address.	droogstoppel	399	76	['PROPN', 'PROPN', 'ADP', 'X', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'X', 'X', 'NOUN', 'PUNCT', 'X', 'X', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'SYM', 'NOUN', 'CCONJ', 'X', 'X', 'X', 'PROPN', 'PUNCT', 'NOUN', 'AUX', 'PUNCT', 'X', 'X', 'PROPN', 'X', 'X', 'PUNCT', 'ADP', 'PRON', 'PROPN', 'X', 'X', 'X', 'X', 'X', 'CCONJ', 'X', 'X', 'PRON', 'X', 'X', 'X', 'X', 'CCONJ', 'NOUN', 'X', 'NOUN', 'PUNCT', 'INTJ', 'NOUN', 'ADJ', 'NOUN', 'X', 'X', 'PRON', 'PUNCT', 'X', 'X', 'ADP', 'X', 'PROPN', 'X', 'X', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'X', 'X', 'X', 'X', 'X', 'ADJ', 'VERB', 'PUNCT']	['ROOT', 'flat', 'case', 'fixed', 'nmod', 'punct', 'det', 'flat', 'flat', 'cc', 'conj', 'punct', 'conj', 'fixed', 'punct', 'parataxis', 'flat', 'flat', 'flat', 'punct', 'parataxis', 'fixed', 'cc', 'conj', 'fixed', 'fixed', 'fixed', 'punct', 'parataxis', 'cop', 'punct', 'cc', 'conj', 'fixed', 'fixed', 'parataxis', 'punct', 'case', 'nmod', 'conj', 'fixed', 'fixed', 'cc', 'conj', 'fixed', 'fixed', 'fixed', 'fixed', 'ROOT', 'parataxis', 'xcomp', 'fixed', 'fixed', 'cc', 'conj', 'fixed', 'fixed', 'punct', 'mark', 'nsubj', 'parataxis', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'fixed', 'fixed', 'case', 'obl', 'appos', 'fixed', 'flat', 'punct', 'parataxis', 'amod', 'obl', 'appos', 'punct', 'punct', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'parataxis', 'punct']	[['If', 'I', 'in'], ['I', 'in', 'my'], ['in', 'my', 'position,'], ['my', 'position,', '—'], ['position,', '—', 'I'], ['—', 'I', 'am'], ['I', 'am', 'a'], ['am', 'a', 'coffee-broker,'], ['a', 'coffee-broker,', 'and'], ['coffee-broker,', 'and', 'live'], ['and', 'live', 'at'], ['live', 'at', 'No.'], ['at', 'No.', '37'], ['No.', '37', 'Laurier'], ['37', 'Laurier', 'Canal,—'], ['Laurier', 'Canal,—', 'made'], ['Canal,—', 'made', 'a'], ['made', 'a', 'statement'], ['a', 'statement', 'to'], ['statement', 'to', 'a'], ['to', 'a', 'Principal,'], ['a', 'Principal,', 'that'], ['Principal,', 'that', 'is,'], ['that', 'is,', 'a'], ['is,', 'a', 'person'], ['a', 'person', 'who'], ['person', 'who', 'sells'], ['who', 'sells', 'coffee,'], ['sells', 'coffee,', 'in'], ['coffee,', 'in', 'which'], ['in', 'which', 'I'], ['which', 'I', 'related'], ['I', 'related', 'only'], ['related', 'only', 'a'], ['only', 'a', 'small'], ['a', 'small', 'part'], ['small', 'part', 'of'], ['part', 'of', 'the'], ['of', 'the', 'lies'], ['the', 'lies', 'which'], ['lies', 'which', 'form'], ['which', 'form', 'the'], ['form', 'the', 'greater'], ['the', 'greater', 'part'], ['greater', 'part', 'of'], ['part', 'of', 'poems'], ['of', 'poems', 'and'], ['poems', 'and', 'novels,'], ['and', 'novels,', 'he'], ['novels,', 'he', 'would'], ['he', 'would', 'immediately'], ['would', 'immediately', 'cease'], ['immediately', 'cease', 'to'], ['cease', 'to', 'employ'], ['to', 'employ', 'me,'], ['employ', 'me,', 'and'], ['me,', 'and', 'go'], ['and', 'go', 'over'], ['go', 'over', 'to'], ['over', 'to', 'Busselinck'], ['to', 'Busselinck', 'and'], ['Busselinck', 'and', 'Waterman,'], ['and', 'Waterman,', 'who'], ['Waterman,', 'who', 'are'], ['who', 'are', 'likewise'], ['are', 'likewise', 'coffee-brokers,'], ['likewise', 'coffee-brokers,', '—'], ['coffee-brokers,', '—', 'but'], ['—', 'but', 'you'], ['but', 'you', 'need'], ['you', 'need', 'not'], ['need', 'not', 'know'], ['not', 'know', 'their'], ['know', 'their', 'address.']]
5	Therefore I take good care not to write any novels, nor to advance any false statements.	droogstoppel	88	16	['PROPN', 'PROPN', 'X', 'ADJ', 'ADJ', 'X', 'X', 'X', 'X', 'X', 'PUNCT', 'X', 'X', 'X', 'X', 'ADJ', 'NOUN', 'PUNCT']	['obl', 'flat', 'amod', 'amod', 'amod', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'conj', 'fixed', 'fixed', 'det', 'amod', 'ROOT', 'punct']	[['Therefore', 'I', 'take'], ['I', 'take', 'good'], ['take', 'good', 'care'], ['good', 'care', 'not'], ['care', 'not', 'to'], ['not', 'to', 'write'], ['to', 'write', 'any'], ['write', 'any', 'novels,'], ['any', 'novels,', 'nor'], ['novels,', 'nor', 'to'], ['nor', 'to', 'advance'], ['to', 'advance', 'any'], ['advance', 'any', 'false'], ['any', 'false', 'statements.']]
6	I have always remarked that persons who do so are often badly off.	droogstoppel	66	13	['SYM', 'NOUN', 'X', 'X', 'X', 'X', 'NOUN', 'X', 'X', 'ADJ', 'VERB', 'NOUN', 'VERB', 'PUNCT']	['det', 'fixed', 'fixed', 'nsubj', 'appos', 'fixed', 'fixed', 'fixed', 'fixed', 'amod', 'nmod', 'nmod', 'ROOT', 'punct']	[['I', 'have', 'always'], ['have', 'always', 'remarked'], ['always', 'remarked', 'that'], ['remarked', 'that', 'persons'], ['that', 'persons', 'who'], ['persons', 'who', 'do'], ['who', 'do', 'so'], ['do', 'so', 'are'], ['so', 'are', 'often'], ['are', 'often', 'badly'], ['often', 'badly', 'off.']]
7	I am forty-three years of age, I have visited the Exchange for the last twenty years, and, therefore, I can come forward whenever you are in want of a person of experience.	droogstoppel	172	32	['PROPN', 'X', 'X', 'X', 'CCONJ', 'NOUN', 'PUNCT', 'SYM', 'NOUN', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'PUNCT', 'SYM', 'X', 'NOUN', 'NOUN', 'ADV', 'X', 'X', 'ADP', 'CCONJ', 'CCONJ', 'X', 'X', 'CCONJ', 'ADJ', 'PUNCT']	['ROOT', 'flat', 'flat', 'flat', 'cc', 'conj', 'punct', 'nmod', 'fixed', 'conj', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'ROOT', 'amod', 'punct', 'conj', 'punct', 'conj', 'punct', 'appos', 'fixed', 'fixed', 'fixed', 'amod', 'appos', 'fixed', 'case', 'ROOT', 'cc', 'cc', 'conj', 'cc', 'conj', 'punct']	[['I', 'am', 'forty-three'], ['am', 'forty-three', 'years'], ['forty-three', 'years', 'of'], ['years', 'of', 'age,'], ['of', 'age,', 'I'], ['age,', 'I', 'have'], ['I', 'have', 'visited'], ['have', 'visited', 'the'], ['visited', 'the', 'Exchange'], ['the', 'Exchange', 'for'], ['Exchange', 'for', 'the'], ['for', 'the', 'last'], ['the', 'last', 'twenty'], ['last', 'twenty', 'years,'], ['twenty', 'years,', 'and,'], ['years,', 'and,', 'therefore,'], ['and,', 'therefore,', 'I'], ['therefore,', 'I', 'can'], ['I', 'can', 'come'], ['can', 'come', 'forward'], ['come', 'forward', 'whenever'], ['forward', 'whenever', 'you'], ['whenever', 'you', 'are'], ['you', 'are', 'in'], ['are', 'in', 'want'], ['in', 'want', 'of'], ['want', 'of', 'a'], ['of', 'a', 'person'], ['a', 'person', 'of'], ['person', 'of', 'experience.']]
8	How many firms do I know which have been utterly ruined !	droogstoppel	57	12	['ADJ', 'NOUN', 'NOUN', 'X', 'SYM', 'VERB', 'PRON', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	['amod', 'fixed', 'amod', 'fixed', 'fixed', 'fixed', 'ROOT', 'xcomp', 'xcomp', 'nsubj', 'xcomp', 'punct']	[['How', 'many', 'firms'], ['many', 'firms', 'do'], ['firms', 'do', 'I'], ['do', 'I', 'know'], ['I', 'know', 'which'], ['know', 'which', 'have'], ['which', 'have', 'been'], ['have', 'been', 'utterly'], ['been', 'utterly', 'ruined'], ['utterly', 'ruined', '!']]
9	And gene rally, when looking for the causes of their failure, it ap peared to me that they must be attributed to the wrong direction which most of them followed in the beginning.	droogstoppel	178	33	['PROPN', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'X', 'X', 'X', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'X', 'X', 'X', 'NOUN', 'X', 'X', 'X', 'X', 'X', 'X', 'NOUN', 'PRON', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADP', 'X', 'NOUN', 'PUNCT']	['nsubj', 'amod', 'flat', 'punct', 'conj', 'ROOT', 'appos', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'punct', 'appos', 'fixed', 'fixed', 'fixed', 'nmod:poss', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'fixed', 'ROOT', 'nsubj', 'cc', 'conj', 'advmod', 'case', 'fixed', 'xcomp', 'punct']	[['And', 'gene', 'rally,'], ['gene', 'rally,', 'when'], ['rally,', 'when', 'looking'], ['when', 'looking', 'for'], ['looking', 'for', 'the'], ['for', 'the', 'causes'], ['the', 'causes', 'of'], ['causes', 'of', 'their'], ['of', 'their', 'failure,'], ['their', 'failure,', 'it'], ['failure,', 'it', 'ap'], ['it', 'ap', 'peared'], ['ap', 'peared', 'to'], ['peared', 'to', 'me'], ['to', 'me', 'that'], ['me', 'that', 'they'], ['that', 'they', 'must'], ['they', 'must', 'be'], ['must', 'be', 'attributed'], ['be', 'attributed', 'to'], ['attributed', 'to', 'the'], ['to', 'the', 'wrong'], ['the', 'wrong', 'direction'], ['wrong', 'direction', 'which'], ['direction', 'which', 'most'], ['which', 'most', 'of'], ['most', 'of', 'them'], ['of', 'them', 'followed'], ['them', 'followed', 'in'], ['followed', 'in', 'the'], ['in', 'the', 'beginning.']]
