	Unnamed: 0	sentences	label
0	0	  Ik ben makelaar in koffi, en woon op de Lauriergracht, NÂ° 37.	droogstoppel
1	1	Het is myn gewoonte niet, romans te schryven, of zulke dingen, en het heeft dan ook lang geduurd, voor ik er toe overging een paar riem papier extra te bestellen, en het werk aantevangen, dat gy, lieve lezer, zoo-even in de hand hebt genomen, en dat ge lezen moet als ge makelaar in koffi zyt, of als ge wat anders zyt.	droogstoppel
2	2	Niet alleen dat ik nooit iets schreef wat naar een roman geleek, maar ik houd er zelfs niet van, iets dergelyks te lezen, omdat ik een man van zaken ben.	droogstoppel
3	3	Sedert jaren vraag ik my af, waartoe zulke dingen dienen, en ik sta verbaasd over de onbeschaamdheid, waarmede een dichter of romanverteller u iets op de mouw durft spelden, dat nooit gebeurd is, en meestal niet gebeuren kan.	droogstoppel
4	4	Als ik in _myn	droogstoppel
5	5	_	droogstoppel
6	6	vak--ik ben makelaar in koffi, en woon op de Lauriergracht NÂ° 37--aan een principaal	droogstoppel
7	7	--een principaal	droogstoppel
8	8	is iemand die koffi verkoopt--een opgave deed, waarin maar een klein gedeelte der onwaarheden voorkwam, die in gedichten en romans de hoofdzaak uitmaken, zou hy terstond Busselinck & Waterman nemen.	droogstoppel
9	9	Dat zyn ook makelaars in koffi, doch hun adres behoeft ge niet te weten.	droogstoppel
10	10	Ik pas er dus wel op, dat ik geen romans schryf, of andere valsche opgaven doe.	droogstoppel
11	11	Ik heb dan ook altyd opgemerkt dat menschen die zich met zoo-iets inlaten, gewoonlyk slecht wegkomen.	droogstoppel
12	12	Ik ben drie en veertig jaren oud, bezoek sedert twintig jaren de beurs, en kan dus voor den dag treden, als men iemand roept die ondervinding heeft.	droogstoppel
13	13	Ik heb al wat huizen zien vallen!	droogstoppel
14	14	En gewoonlyk, wanneer ik de oorzaken naging, kwam het me voor, dat die moesten gezocht worden in de verkeerde richting die aan de meesten gegeven was in hun jeugd.  	droogstoppel
15	15	Ik zeg:	droogstoppel
16	16	_waarheid en gezond verstand_, en hier blyf ik by.	droogstoppel
17	17	Voor de _Schrift_ maak ik natuurlyk een uitzondering.	droogstoppel
18	18	"De fout begint al van Van Alphen af, en wel terstond by den eersten regel over die ""_lieve wichtjes_."	droogstoppel
19	19	""" Wat drommel kon dien ouden heer bewegen, zich uittegeven voor een aanbidder van myn zusje Truitje die zeere oogen had, of van myn broÃªr Gerrit die altyd met zyn neus speelde?"	droogstoppel
20	20	En toch, hy zegt:	droogstoppel
21	21	"""dat hy die versjes zong, door _liefde_ gedrongen."	droogstoppel
22	22	""" Ik dacht dikwyls als kind:"	droogstoppel
23	23	"""man, ik wilde u graag eens ontmoeten, en als ge my de marmerknikkers weigerde, die ik u vragen zou, of myn naam"	droogstoppel
24	24	voluit in banket--ik heet _	droogstoppel
25	25	Batavus_--dan houd ik u voor een leugenaar.	droogstoppel
26	26	Maar ik heb Van Alphen nooit gezien.	droogstoppel
27	27	Hy was al dood, geloof ik, toen hy ons vertelde	droogstoppel
28	28	dat myn vader myn beste vrind was--ik hield meer van Pauweltje Winser, die naast ons woonde in de Batavierstraat--en dat myn kleine hond	droogstoppel
29	29	zoo dankbaar was.	droogstoppel
30	30	We hielden geen honden, omdat ze zoo onzindelyk zyn.  	droogstoppel
31	31	Alles leugens!	droogstoppel
32	32	Zoo gaat dan de opvoeding voort.	droogstoppel
33	33	Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool.	droogstoppel
34	34	Alle Hollanders zyn dapper en edelmoedig.	droogstoppel
35	35	De Romeinen waren bly dat de Batavieren hen lieten leven.	droogstoppel
36	36	De Bey van Tunis kreeg een kolyk als hy het wapperen hoorde van de nederlandsche vlag.	droogstoppel
37	37	De hertog van Alva was een ondier.	droogstoppel
38	38	De eb, in 1672 geloof ik, duurde wat langer dan gewoonlyk, expres om Nederland te beschermen.	droogstoppel
39	39	Leugens!	droogstoppel
40	40	Nederland is _Nederland_ gebleven, omdat onze oude luÃ® goed op hun zaken pasten, en omdat ze het ware geloof hadden.	droogstoppel
41	41	DÃ t is de zaak!  	droogstoppel
42	42	En dan komen later weer andere leugens.	droogstoppel
43	43	Een meisjen is een engel.	droogstoppel
44	44	Wie dit het eerst ontdekte, heeft nooit zusters gehad.	droogstoppel
45	45	Liefde is een zaligheid.	droogstoppel
46	46	Men vlucht met het een of ander voorwerp naar het einde der aarde.	droogstoppel
47	47	De aarde heeft geen einden, en die liefde is ook gekheid.	droogstoppel
48	48	Niemand kan zeggen dat ik niet goed leef met myn vrouw--zy is een dochter van Last & Co, makelaars in koffi	droogstoppel
49	49	--niemand kan iets op ons huwelyk aanmerken.	droogstoppel
50	50	Ik ben lid van _Artis_, zy heeft een sjaallong van twee-en-negentig gulden, en van zulk een malle liefde die volstrekt aan het einde der aarde wil wonen, is toch tusschen ons nooit spraak geweest.	droogstoppel
51	51	Toen we getrouwd zyn, hebben wy een toertje naar den Haag gemaakt--ze heeft daar flanel gekocht, waarvan ik nog borstrokken draag--en verder heeft ons de liefde nooit de wereld ingejaagd.	droogstoppel
52	52	Dus: alles gekheid en leugens!  	droogstoppel
53	53	En zou _myn_ huwelyk nu minder gelukkig wezen, dan van de menschen die zich uit liefde de tering op den hals haalden, of de haren uit het hoofd?	droogstoppel
54	54	Of denkt ge dat myn huishouden iets minder wel geregeld is, dan het wezen zou als ik voor zeventien jaar myn meisjen in _verzen_ gezegd had dat ik haar trouwen wilde?	droogstoppel
55	55	Gekheid!	droogstoppel
56	56	Ik had dit toch even goed kunnen doen als ieder ander, want verzenmaken is een ambacht, zeker minder moeielyk dan ivoordraaien.	droogstoppel
57	57	Hoe zouden anders de ulevellen met deviezen zoo goedkoop wezen?--Frits zegt:	droogstoppel
58	58	"""_Uhlefeldjes"	droogstoppel
59	59	_	droogstoppel
60	60	""" ik weet niet, waarom?"	droogstoppel
61	61	--En vraag eens naar den prys van een stel billardballen!  	droogstoppel
62	62	Ik heb niets tegen verzen op-zichzelf.	droogstoppel
63	63	Wil men de woorden in gelid	droogstoppel
64	64	't zetten, goed!	droogstoppel
65	65	"Maar zeg niets wat niet waar is. """	droogstoppel
66	66	_	droogstoppel
67	67	De lucht is guur, en 't is vier uur_.	droogstoppel
68	68	""""	droogstoppel
69	69	Dit laat ik gelden, als het werkelijk _guur_ en _vier uur_ is.	droogstoppel
70	70	Maar als 't kwartier voor drieÃ«n is, kan ik, die myn woorden niet in 't gelid zet, zeggen:	droogstoppel
71	71	"""_de lucht is guur, en 't is kwartier voor drieÃ«n_."	droogstoppel
72	72	""" De verzenmaker is door de _guurheid_ van den eersten regel aan een vol uur gebonden."	droogstoppel
73	73	Het moet voor hem juist _een, twee_ uur, enz. wezen, of de lucht mag niet guur zyn.	droogstoppel
